No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Stock	LCSC Price	JLCPCB Stock	JLCPCB Price	Device	Unique ID
41	4	0Ω	R13,R14,R150,R160	R0402	0Ω	FRC0402F0000TS	FOJAN(富捷)	C2906858	LCSC			4101384	0.0002	FRC0402F0000TS	gge123_1,gge124_1,gge153_2,gge154_1
42	3	33Ω	R15,R16,R113	R0402	33Ω	0402WGF330JTCE	UNI-ROYAL(厚声)	C25105	LCSC			3071307	0.0002	0402WGF330JTCE	gge125_1,gge126_1,gge234
43	13	10kΩ	R55,R56,R71,R91,R92,R110,R116,R122,R128,R134,R142,R146,R151	R0402	10kΩ	0402WGF1002TCE	UNI-ROYAL(厚声)	C25744	LCSC			5626367	0.0002	0402WGF1002TCE	gge58_1,gge142,gge146,gge156,gge172_3,gge172_4,gge184_10,gge184_12,gge184_15,gge184_18,gge193,gge194,gge225
44	5	2.2kΩ	R62,R78,R100,R152,R159	R0402	2.2kΩ	0402WGF2201TCE	UNI-ROYAL(厚声)	C25879	LCSC			1897479	0.0002	0402WGF2201TCE	gge11_1,gge12_1,gge208,gge208_1,gge208_2
45	3	47kΩ	R68,R175,R176	R0402	47kΩ	FRC0402F4702TS	FOJAN(富捷)	C2906872	LCSC			2666342	0.0001	FRC0402F4702TS	gge168,gge306,gge307
46	1	360kΩ	R70	R0402	360kΩ	RC0402FR-07360KL	YAGEO(国巨)	C163471	LCSC			137061	0.0002	RC0402FR-07360KL	gge57_1
47	1	560kΩ	R72	R0402	560kΩ	0402WGF5603TCE	UNI-ROYAL(厚声)	C132339	LCSC			87215	0.0002	0402WGF5603TCE	gge52_1
48	1	75kΩ	R73	R0402	75kΩ	FRC0402F7502TS	FOJAN(富捷)	C2909383	LCSC			707189	0.0002	FRC0402F7502TS	gge51_1
49	1	3.6kΩ	R81	R0402	3.6kΩ	RC0402FR-073K6L	YAGEO(国巨)	C137990	LCSC			157139	0.0002	RC0402FR-073K6L	gge9_1
50	1	50kΩ	R82	R0603	50kΩ	RT0603BRD0750KL	YAGEO(国巨)	C861451	LCSC			167026	0.0032	RT0603BRD0750KL	gge159_1
51	2	3.3kΩ	R83,R105	R0402	3.3kΩ	FRC0402F3301TS	FOJAN(富捷)	C2909345	LCSC			4069985	0.0002	FRC0402F3301TS	gge160_1,gge217
52	2	5.1kΩ	R89,R90	R0402	5.1kΩ	FRC0402F5101TS	FOJAN(富捷)	C2906874	LCSC			6771672	0.0002	FRC0402F5101TS	gge189_1,gge189_2
53	1	20kΩ	R102	R0402	20kΩ	0402WGF2002TCE	UNI-ROYAL(厚声)	C25765	LCSC			1966626	0.0002	0402WGF2002TCE	gge212
54	2	2kΩ	R103,R170	R0402	2kΩ	FRC0402F2001TS	FOJAN(富捷)	C2909344	LCSC			5706841	0.0002	FRC0402F2001TS	gge213,gge300
55	1	22kΩ	R106	R0402	22kΩ	FRC0402F2202TS	FOJAN(富捷)	C2909337	LCSC			1954289	0.0002	FRC0402F2202TS	gge218
56	6	1kΩ	R108,R121,R127,R133,R139,R173	R0402	1kΩ	FRC0402F1001TS	FOJAN(富捷)	C2906864	LCSC			9925450	0.0002	FRC0402F1001TS	gge223,gge240,gge244,gge252,gge260,gge303
57	5	1MΩ	R109,R154,R162,R174,R179	R0402	1MΩ	0402WGF1004TCE	UNI-ROYAL(厚声)	C26083	LCSC			1013746	0.0002	0402WGF1004TCE	gge169_1,gge169_2,gge224,gge224_1,gge305
